Wall time,Step,Value
1681909669,9320,31.33001709
1681909717,9420,31.63539124
1681909732,9450,31.37033844
1681909780,9540,31.72625923
1681909802,9580,31.87861252
1681909824,9620,31.2642746
1681909878,9710,31.72056389
1681909883,9720,31.1094532
1681909918,9780,31.42004204
1681909924,9790,31.12241173
1681909956,9840,31.87657738
1681910069,10020,31.06609154
1681910088,10050,31.60012817
1681910144,10140,31.98011971
1681910356,10440,31.45976639
1681910442,10570,31.49278259
1681910487,10630,31.59381866
1681910510,10660,31.48983383
1681910525,10680,32.52497864
1681910556,10720,31.78800774
1681910602,10780,31.39622688
1681910641,10830,32.50112152
1681910716,10930,31.57938766
1681910764,10990,32.2305336
1681910807,11040,31.50612831
1681910887,11140,31.54994965
1681911299,11560,32.11427307
1681911328,11600,31.1044178
1681911334,11610,31.83614349
1681911340,11620,31.45227242
1681911497,11800,32.12926483
1681911611,11930,31.49050522
1681911731,12060,31.53944397
1681911983,12320,31.81311035
1681912096,12440,31.30621719
1681912202,12550,30.92856407
1681912229,12580,31.81495285
1681912256,12610,31.74128342
1681912450,12810,31.6923008
1681912512,12870,32.31119537
1681912588,12940,31.83828545
1681912652,13000,31.37341881
1681912822,13160,31.6114769
1681912849,13190,31.81252098
1681912971,13300,31.15834236
1681913003,13330,31.72838211
1681913037,13360,31.64071083
1681913048,13370,31.70084381
1681913544,13850,31.39657211
1681913578,13880,31.40351105
1681913612,13910,31.67819595
1681913622,13920,31.63731956
1681913842,14140,32.10395813
1681913969,14260,31.89737892
1681913997,14280,31.80617714
1681914096,14360,31.09140968
1681914158,14400,32.03303146
1681914925,14650,31.77848244
1681914946,14660,31.53464127
1681917231,14770,31.31254768
1681917252,14850,31.80289841
1681917263,14890,31.65742874
1681917275,14910,31.09107399
1681917357,15230,31.76171875
1681917367,15270,31.54960823
1681917432,15520,31.47507858
1681917474,15680,31.60744858
1681917476,15690,31.95380211
1681917515,15840,32.06118393
1681917526,15880,31.87852669
1681917568,16040,31.97332764
1681917571,16050,31.29467964
1681917605,16180,31.71704292
1681917628,16270,32.04026413
1681917642,16320,31.4968853
1681917655,16370,31.89031601
1681917663,16400,31.92773438
1681917676,16450,32.17162704
1681917684,16480,31.06047821
1681917715,16600,32.0124321
1681917736,16680,31.64147758
1681917755,16750,31.557024
1681917779,16820,32.25223923
1681917803,16910,31.974823
1681917813,16950,31.57394218
1681917819,16970,31.35898018
1681917824,16990,31.3526268
1681917832,17020,32.14325333
1681917863,17090,31.09647751
1681917886,17180,31.44384956
1681917913,17280,31.59650421
1681917924,17320,31.73859978
1681917929,17340,31.47099304
1681917937,17370,31.54427719
1681917951,17420,31.62709618
1681917959,17450,32.52842712
1681917962,17460,31.54650688
1681918016,17660,32.03091431
1681918040,17750,32.17401505
1681918056,17810,31.67777252
1681918075,17880,31.39071274
1681918078,17890,31.80370522
1681918102,17980,31.69192123
1681918121,18050,31.89423943
1681918178,18260,32.13077164
1681918189,18300,32.00285721
1681918216,18400,32.2639122
1681918227,18440,31.6491375
1681918251,18530,32.02275085
1681918294,18660,31.7626667
1681918302,18690,31.06373215
1681918318,18750,31.37631035
1681918324,18770,31.76225471
